URL,Comments
https://item.jd.com/100028019922.html,200000+
https://item.jd.com/100062986675.html,200000+
https://item.jd.com/100010129269.html,200000+
https://item.jd.com/100011957403.html,200000+
https://item.jd.com/100017744340.html,200000+
https://item.jd.com/100028019892.html,200000+
https://item.jd.com/100048018475.html,200000+
https://item.jd.com/100055488268.html,200000+
https://item.jd.com/100055843191.html,200000+
https://item.jd.com/100058062398.html,200000+
https://item.jd.com/100058786820.html,200000+
https://item.jd.com/100058786840.html,200000+
https://item.jd.com/100062502049.html,200000+
https://item.jd.com/100058786862.html,200000+
https://item.jd.com/100062986677.html,200000+
https://item.jd.com/100012123090.html,100000+
https://item.jd.com/100021513869.html,100000+
https://item.jd.com/100012123308.html,100000+
https://item.jd.com/100043777583.html,100000+
https://item.jd.com/100043777505.html,100000+
https://item.jd.com/100027678120.html,100000+
https://item.jd.com/100010789635.html,100000+
https://item.jd.com/100012123088.html,100000+
https://item.jd.com/100058786882.html,100000+
https://item.jd.com/100012123068.html,100000+
https://item.jd.com/100024104145.html,100000+
https://item.jd.com/100007555577.html,50000+
https://item.jd.com/100042729145.html,50000+
https://item.jd.com/100000502163.html,50000+
https://item.jd.com/100043778005.html,50000+
https://item.jd.com/100013722840.html,50000+
https://item.jd.com/100013746036.html,50000+
https://item.jd.com/100003671202.html,50000+
https://item.jd.com/100033278415.html,50000+
https://item.jd.com/100002243785.html,50000+
https://item.jd.com/100000256018.html,50000+
https://item.jd.com/100022811991.html,50000+
https://item.jd.com/100023021096.html,50000+
https://item.jd.com/100000500494.html,50000+
https://item.jd.com/100011356724.html,50000+
https://item.jd.com/100011356714.html,50000+
https://item.jd.com/100011356532.html,50000+
https://item.jd.com/100003306920.html,50000+
https://item.jd.com/100042728575.html,50000+
https://item.jd.com/2821975.html,50000+
https://item.jd.com/100043777957.html,50000+
https://item.jd.com/100043778111.html,50000+
https://item.jd.com/2963554.html,50000+
https://item.jd.com/5175078.html,50000+
https://item.jd.com/2821973.html,50000+
https://item.jd.com/2845817.html,20000+
https://item.jd.com/100016678201.html,20000+
https://item.jd.com/100011407502.html,20000+
https://item.jd.com/100068826789.html,20000+
https://item.jd.com/100002427829.html,20000+
https://item.jd.com/2845781.html,20000+
https://item.jd.com/100019725526.html,20000+
https://item.jd.com/100028753799.html,20000+
https://item.jd.com/100067552898.html,20000+
https://item.jd.com/100031998878.html,20000+
https://item.jd.com/100035610518.html,20000+
https://item.jd.com/100042008899.html,20000+
https://item.jd.com/100042729011.html,20000+
https://item.jd.com/100044513629.html,20000+
https://item.jd.com/100039099866.html,10000+
https://item.jd.com/100039099902.html,10000+
https://item.jd.com/100039099864.html,10000+
https://item.jd.com/100071920296.html,10000+
https://item.jd.com/100022644147.html,10000+
https://item.jd.com/5175062.html,10000+
https://item.jd.com/100012092568.html,10000+
https://item.jd.com/100040467699.html,5000+
https://item.jd.com/100058786888.html,2000+
https://item.jd.com/100018011962.html,2000+
https://item.jd.com/8993127.html,2000+
https://item.jd.com/100038511686.html,2000+
https://item.jd.com/100037754022.html,1000+
https://item.jd.com/100029654165.html,1000+
https://item.jd.com/100040467393.html,500+
https://item.jd.com/100002403414.html,500+
