URL,Comments
https://item.jd.com/100061748761.html,20000+
https://item.jd.com/100056935608.html,20000+
https://item.jd.com/100056935634.html,5000+
https://item.jd.com/100056365634.html,2000+
https://item.jd.com/100056365648.html,2000+
https://item.jd.com/100056365618.html,2000+
https://item.jd.com/100047472734.html,2000+
https://item.jd.com/100047472732.html,2000+
https://item.jd.com/100061748797.html,2000+
https://item.jd.com/100067483160.html,2000+
https://item.jd.com/100056057272.html,1000+
https://item.jd.com/100056935644.html,1000+
https://item.jd.com/100077239839.html,1000+
https://item.jd.com/100047472714.html,1000+
https://item.jd.com/100055466541.html,1000+
https://item.jd.com/100055466569.html,1000+
https://item.jd.com/100047472536.html,1000+
https://item.jd.com/100061748795.html,1000+
https://item.jd.com/100061748807.html,500+
https://item.jd.com/100056935610.html,500+
https://item.jd.com/100047472716.html,200+
https://item.jd.com/100047472730.html,200+
https://item.jd.com/100047472738.html,200+
https://item.jd.com/100055466679.html,200+
https://item.jd.com/100047472508.html,200+
https://item.jd.com/100055466543.html,200+
https://item.jd.com/100056057298.html,200+
https://item.jd.com/100056365636.html,200+
https://item.jd.com/100056935612.html,200+
https://item.jd.com/100055466547.html,100+
https://item.jd.com/100092286160.html,0
https://item.jd.com/100090391588.html,0
https://item.jd.com/100090391586.html,0
https://item.jd.com/100090391554.html,0
https://item.jd.com/100090391534.html,0
https://item.jd.com/100084040841.html,0
https://item.jd.com/100084040835.html,0
https://item.jd.com/100084040817.html,0
https://item.jd.com/100085305891.html,0
