URL,Comments
https://item.jd.com/5088099.html,500000+
https://item.jd.com/100062064085.html,500000+
https://item.jd.com/100062064069.html,500000+
https://item.jd.com/100006970787.html,500000+
https://item.jd.com/100000006199.html,500000+
https://item.jd.com/100022193716.html,500000+
https://item.jd.com/5475198.html,500000+
https://item.jd.com/100018169290.html,200000+
https://item.jd.com/6049945.html,200000+
https://item.jd.com/6049987.html,200000+
https://item.jd.com/100018999711.html,200000+
https://item.jd.com/100022193736.html,200000+
https://item.jd.com/100010271315.html,200000+
https://item.jd.com/100034279457.html,200000+
https://item.jd.com/100014384360.html,200000+
https://item.jd.com/100007979899.html,200000+
https://item.jd.com/6055022.html,200000+
https://item.jd.com/100007736405.html,200000+
https://item.jd.com/100000006217.html,200000+
https://item.jd.com/100006970785.html,200000+
https://item.jd.com/100000006221.html,200000+
https://item.jd.com/100006683802.html,200000+
https://item.jd.com/100014384358.html,200000+
https://item.jd.com/100002187047.html,200000+
https://item.jd.com/5088131.html,200000+
https://item.jd.com/3197429.html,200000+
https://item.jd.com/3627186.html,200000+
https://item.jd.com/3197361.html,200000+
https://item.jd.com/3197383.html,200000+
https://item.jd.com/3197365.html,200000+
https://item.jd.com/3197385.html,200000+
https://item.jd.com/100077643920.html,200000+
https://item.jd.com/3197457.html,200000+
https://item.jd.com/5088129.html,200000+
https://item.jd.com/100065282060.html,200000+
https://item.jd.com/5475190.html,200000+
https://item.jd.com/100057407520.html,200000+
https://item.jd.com/100057407556.html,200000+
https://item.jd.com/100062064083.html,200000+
https://item.jd.com/3627320.html,100000+
https://item.jd.com/100002187045.html,100000+
https://item.jd.com/3197421.html,100000+
https://item.jd.com/3627132.html,100000+
https://item.jd.com/3197317.html,100000+
https://item.jd.com/100085014705.html,100000+
https://item.jd.com/100007736429.html,100000+
https://item.jd.com/100012736912.html,100000+
https://item.jd.com/100006970791.html,100000+
https://item.jd.com/100039518290.html,100000+
https://item.jd.com/3197295.html,50000+
https://item.jd.com/3627106.html,50000+
https://item.jd.com/3197311.html,50000+
https://item.jd.com/100039518294.html,50000+
https://item.jd.com/100090667834.html,50000+
https://item.jd.com/5475196.html,50000+
https://item.jd.com/3197431.html,50000+
https://item.jd.com/100066655097.html,50000+
https://item.jd.com/100074351589.html,20000+
https://item.jd.com/100009564482.html,20000+
https://item.jd.com/100075824910.html,20000+
https://item.jd.com/100022922153.html,20000+
https://item.jd.com/100039518320.html,20000+
https://item.jd.com/100091847714.html,20000+
https://item.jd.com/100020077713.html,10000+
https://item.jd.com/100075831592.html,10000+
https://item.jd.com/100077582675.html,1000+
https://item.jd.com/100082252088.html,1000+
https://item.jd.com/100082252058.html,1000+
https://item.jd.com/100077749489.html,200+
https://item.jd.com/100081151788.html,200+
https://item.jd.com/100077886205.html,200+
https://item.jd.com/100073484102.html,0
https://item.jd.com/100075847380.html,0
